,prices,market_caps,total_volumes
2023-12-21 03:00:23.016,1.0190117155950952e-05,5998925583.936688,177182862.9672621
2023-12-21 04:00:12.624,1.0226328232637723e-05,6021052061.541541,177026770.61675885
2023-12-21 05:00:12.399,1.0241816431091624e-05,6034395741.434142,165648194.27712864
2023-12-21 06:00:56.998,1.0224657165491262e-05,6024878393.310472,165108738.89119315
2023-12-21 07:00:25.217,1.0263304374485265e-05,6048416246.8666315,163201202.12309054
2023-12-21 08:01:00.740,1.0319595499334401e-05,6081779656.894253,162358837.69152343
2023-12-21 09:00:15.103,1.0294780798861786e-05,6072389512.907751,175720158.97931585
2023-12-21 10:02:05.484,1.0292557127499242e-05,6055517102.607381,178557977.8528012
2023-12-21 11:00:58.202,1.0372364635720926e-05,6108066445.430829,167887118.16518456
2023-12-21 12:00:15.509,1.0388305162047624e-05,6116436463.610804,163635880.45117548
2023-12-21 13:00:47.310,1.0384457370705297e-05,6128227407.59875,162572708.76017514
2023-12-21 14:00:12.740,1.036488952636857e-05,6103514237.107522,161242377.3383586
2023-12-21 15:00:43.143,1.026039004264646e-05,6035884916.257364,157555287.2513884
2023-12-21 16:00:02.885,1.0253547031916675e-05,6047184722.018667,170032757.5684476
2023-12-21 17:00:33.614,1.0253859279290462e-05,6029039110.828359,153186722.57858875
2023-12-21 18:00:47.218,1.0226183654212775e-05,6022682526.5085945,150961042.6387666
2023-12-21 19:01:08.496,1.0263612095431674e-05,6057793748.944366,148698571.27144164
2023-12-21 20:01:02.128,1.034756188505738e-05,6070187414.424674,157561575.27497235
2023-12-21 21:00:42.141,1.0502767462560747e-05,6172784827.195374,152887571.39989135
2023-12-21 22:01:09.090,1.0500620672225251e-05,6189099350.917479,163556709.4859221
2023-12-21 23:00:58.449,1.0447823064650304e-05,6160373578.150229,164658436.07074413
2023-12-22 00:00:31.530,1.0444229829792029e-05,6143096347.063452,167430348.1652004
2023-12-22 01:01:43.597,1.0535096908317196e-05,6196264398.058385,170133883.3233289
2023-12-22 02:00:38.818,1.0539817216190298e-05,6249645914.220986,173726221.43073183
2023-12-22 03:00:38.863,1.0419360801710919e-05,6168615338.313308,186392357.2844092
2023-12-22 04:00:14.541,1.0477603555077419e-05,6167537185.881885,177955610.18509898
2023-12-22 05:00:40.529,1.0679794129228206e-05,6287646254.829445,185898161.0802285
2023-12-22 06:00:11.080,1.0622156853703089e-05,6261214697.2793255,191627133.38110763
2023-12-22 07:00:21.165,1.0468388812208855e-05,6174591945.738294,205459187.7684967
2023-12-22 08:00:02.631,1.036375972706164e-05,6112341388.223227,216669504.78753972
2023-12-22 09:00:14.238,1.043275549362216e-05,6145803435.733701,224208201.31502125
2023-12-22 10:01:06.280,1.0556652809046549e-05,6217167097.49294,218929461.41532513
2023-12-22 11:00:12.632,1.0548970101895388e-05,6213261952.081405,211370248.09097764
2023-12-22 12:01:04.696,1.0561330607507106e-05,6234496041.208163,222333367.46862152
2023-12-22 13:00:56.326,1.0602102848745687e-05,6247809351.053752,222651088.88638616
2023-12-22 14:00:12.725,1.0696469239785461e-05,6305658894.653414,234282202.8801018
2023-12-22 15:00:46.974,1.0722498378810951e-05,6319980732.753127,244506869.1071037
2023-12-22 16:00:29.079,1.075021547073701e-05,6319936216.167125,257412540.25993988
2023-12-22 17:00:31.229,1.0876291181855951e-05,6430603016.588266,266956415.6690592
2023-12-22 18:01:11.032,1.0852552343615714e-05,6394820395.829012,280826968.4541256
2023-12-22 19:01:12.339,1.089593379180887e-05,6395495417.397563,292593021.8737822
2023-12-22 20:01:53.144,1.0880884174668023e-05,6388224538.829735,294581611.1634039
2023-12-22 21:01:14.786,1.0884356333649182e-05,6410762935.550491,279119741.0711768
2023-12-22 22:00:13.563,1.0906768245270224e-05,6426119463.939687,269768507.0642056
2023-12-22 23:00:14.731,1.0877762873812433e-05,6414304209.657198,270282584.28487825
2023-12-23 00:02:08.179,1.0914164856965731e-05,6438593365.553817,270950338.20760804
2023-12-23 01:00:48.569,1.0795962710060953e-05,6365751710.170459,273379992.7917305
2023-12-23 02:00:09.576,1.0732292300913354e-05,6353145714.365335,275738424.66750824
2023-12-23 03:00:27.140,1.06938713449009e-05,6301990168.422889,272121848.1613397
2023-12-23 04:00:43.422,1.059276089698159e-05,6249715037.8424015,274063914.1884407
2023-12-23 05:00:11.996,1.0591927566316564e-05,6224983622.615166,270716015.5325756
2023-12-23 06:00:10.156,1.0747069179088562e-05,6321795822.5440235,271333038.52700883
2023-12-23 07:00:29.609,1.0709307308202337e-05,6313084656.811595,267055607.90823883
2023-12-23 08:00:03.999,1.0662591264297702e-05,6281582090.950712,259802577.0260812
2023-12-23 09:00:24.809,1.070515689284353e-05,6298296792.116227,254245549.37904784
2023-12-23 10:00:21.195,1.0743594850232874e-05,6328348547.922409,245888504.6423377
2023-12-23 11:00:24.451,1.0846427479660345e-05,6371662231.213723,244475878.6333895
2023-12-23 12:00:14.451,1.0846649999092144e-05,6386247612.794201,246556311.6071793
2023-12-23 13:00:32.412,1.1080182497540553e-05,6525260993.540386,269856671.65163034
2023-12-23 14:00:09.207,1.1235157707332184e-05,6605292521.292344,271807161.084411
2023-12-23 15:00:53.400,1.1136075935584079e-05,6528641952.248843,270142019.4752641
2023-12-23 16:00:45.969,1.1075253431286798e-05,6527032090.139219,276588485.3676947
2023-12-23 17:01:04.613,1.1006747897331132e-05,6496821116.840364,259876260.1880399
2023-12-23 18:01:50.459,1.101870844175582e-05,6493225253.009102,254124613.76126423
2023-12-23 19:00:18.516,1.0999057737377172e-05,6492133635.489018,264270876.1288183
2023-12-23 20:00:45.593,1.0985778075040301e-05,6466437277.309613,268458664.55664957
2023-12-23 21:00:09.417,1.0951142430921326e-05,6457224700.461222,258871540.5075664
2023-12-23 22:01:03.872,1.0941177680533e-05,6446742609.515644,257990249.72889063
2023-12-23 23:00:39.469,1.1002077391931145e-05,6480261142.285513,257102540.06710914
2023-12-24 00:00:39.590,1.108045112076708e-05,6533836991.763987,264480077.33601874
2023-12-24 01:00:42.096,1.0939217740781062e-05,6441797669.696993,262170303.79945585
2023-12-24 02:01:57.098,1.0935268033352088e-05,6446348017.357619,258770110.58675006
2023-12-24 03:01:32.195,1.0971748718371079e-05,6450817907.411668,257865339.6328968
2023-12-24 04:01:48.553,1.1002352583520122e-05,6485172780.627221,257380992.1603859
2023-12-24 05:00:24.149,1.1037500103765418e-05,6490106806.056185,257670417.59064957
2023-12-24 06:00:43.024,1.0841753810003079e-05,6398490778.482027,260667010.06303102
2023-12-24 07:00:22.984,1.0844880160591228e-05,6410640649.692908,265043087.52499196
2023-12-24 08:00:51.099,1.0936558467605677e-05,6445719908.199289,252523003.42945248
2023-12-24 09:00:10.853,1.091896640209332e-05,6441681886.670749,249046332.42920345
2023-12-24 10:00:13.077,1.0970487489509451e-05,6469844499.533515,258966318.39457303
2023-12-24 11:00:24.234,1.0872556763498595e-05,6410342179.84228,262700579.9100099
2023-12-24 12:00:27.614,1.0892762739350099e-05,6417943782.528112,259808585.14814958
2023-12-24 13:01:30.756,1.092610361182682e-05,6419908556.519376,246062053.4694606
2023-12-24 14:00:23.018,1.0975095937709992e-05,6448330915.26167,241950024.23982668
2023-12-24 15:00:35.716,1.0938407748492533e-05,6459521495.575676,225575687.08366278
2023-12-24 16:00:13.670,1.096847296747045e-05,6471680270.1226,215542315.02152497
2023-12-24 17:01:33.650,1.0937428752445601e-05,6446100950.499567,205205209.95182824
2023-12-24 18:00:45.536,1.0903922599140638e-05,6418462663.972699,212388525.9726472
2023-12-24 19:01:02.301,1.0921698819789832e-05,6415582599.626032,195875897.67890754
2023-12-24 20:00:26.566,1.0927719656125918e-05,6395050549.194449,196083362.97045273
2023-12-24 21:00:50.056,1.0807958909721507e-05,6361781124.129462,199518391.37900007
2023-12-24 22:00:23.761,1.0783049065003652e-05,6357177015.534594,199694231.8698755
2023-12-24 23:00:53.776,1.0634962984612934e-05,6220873073.05234,215517745.31947115
2023-12-25 00:00:09.489,1.0663913562259558e-05,6282918678.06136,214544245.62199157
2023-12-25 01:00:11.230,1.0631205410826966e-05,6245731503.071703,213393645.70105258
2023-12-25 02:01:04.325,1.071805826781092e-05,6310199762.795737,210120847.34313843
2023-12-25 03:00:29.387,1.0726404312604869e-05,6311613896.602077,212143748.89444223
2023-12-25 04:00:21.323,1.0719128445333785e-05,6319352643.881285,211002097.3083036
2023-12-25 05:00:47.850,1.074123677651299e-05,6330593940.268604,205943536.65302604
2023-12-25 06:00:19.293,1.075706931061054e-05,6339467147.588971,200858532.82742688
2023-12-25 07:00:01.768,1.078695933560606e-05,6357816520.765007,192454949.59468395
2023-12-25 08:01:09.304,1.0782811268205147e-05,6363579724.598323,199025915.37529093
2023-12-25 09:01:02.375,1.073565095893095e-05,6337751225.326817,201607905.01473746
2023-12-25 10:01:19.262,1.0721698325371786e-05,6312031880.279922,197024003.265071
2023-12-25 11:00:16.982,1.0778693649836257e-05,6345321094.353613,191443712.0688997
2023-12-25 12:00:30.431,1.0923965323980424e-05,6392194270.992641,194302865.41468224
2023-12-25 13:01:17.821,1.0990424213674205e-05,6488223388.8552065,201110119.1061786
2023-12-25 14:00:19.380,1.1019866543027965e-05,6484253140.435737,207638137.91211617
2023-12-25 15:00:21.239,1.0959096852171719e-05,6457672162.548287,206172252.367284
2023-12-25 16:00:47.401,1.0971058892104273e-05,6466460591.671663,206100096.98674875
